run id,shared,expertise,strategy,time to plan,average risk,max risk,foam collisions,wood collisions,metal collisions,best makespan,human makespan,best robot makespan,estimated robot makespan,robot foam,robot wood,robot metal
28,0,unexp,MakespanPlanner,67487,3719.8386111111113,16384.0,1,2,0,177.75,177.75,87.5,98.625,3,3,3
29,0,unexp,MakespanPlanner,67485,2484.147925925926,12800.0,3,3,0,177.75,177.75,110.0,141.5,3,3,3
30,0,unexp,RiskPlanner,46173,229.9261686746988,992.16,1,2,0,234.0,177.75,234.0,271.5,3,3,3
31,0,unexp,RiskPlanner,42443,348.8551111111111,2048.0,3,3,1,234.0,177.75,234.0,321.5,3,3,3
32,0,unexp,RiskPlanner,46126,229.9261686746988,992.16,1,2,0,234.0,177.75,234.0,271.5,3,3,3
33,0,unexp,RiskPlanner,46211,229.9261686746988,992.16,1,2,0,234.0,177.75,234.0,271.5,3,3,3
34,0,unexp,RiskPlanner,42462,348.8551111111111,2048.0,3,3,1,234.0,177.75,234.0,321.5,3,3,3
35,0,unexp,Planner,15012,1496.1164444444444,8192.0,1,0,1,177.75,177.75,113.75,131.25,3,3,3
36,0,unexp,Planner,14993,2010.8778888888887,10240.0,2,0,1,177.75,177.75,133.0,153.5,3,3,3
37,0,unexp,Planner,14973,2519.6505555555555,16384.0,2,1,1,177.75,177.75,123.75,154.25,3,3,3
38,0,unexp,Planner,14964,1768.0325555555555,8192.0,1,0,2,177.75,177.75,100.25,124.25,3,3,3
39,0,unexp,Planner,14994,3273.7955555555554,32768.0,1,0,1,177.75,177.75,113.75,118.125,3,3,3
40,2,exp,RiskAssessmentPlanner,78643,57.49704347826087,491.776,1,1,1,234.0,116.5,234.0,271.5,2,3,4
41,2,exp,RiskAssessmentPlanner,79239,57.49704347826087,491.776,1,1,1,234.0,116.5,234.0,271.5,2,3,4
42,2,exp,RiskAssessmentPlanner,79629,57.49704347826087,491.776,1,1,1,234.0,116.5,234.0,271.5,2,3,4
43,2,exp,RiskAssessmentPlanner,76911,57.49704347826087,491.776,1,1,1,234.0,116.5,234.0,271.5,2,3,4
44,2,exp,RiskAssessmentPlanner,79563,57.49704347826087,491.776,1,1,1,234.0,116.5,234.0,271.5,2,3,4
